,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
33,킹 아더,2004-07-23,5137581500.0,5137581500.0,807850.0,807850.0,104.0,9335.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세관람가,사극,안톤 후쿠아,"스티븐 딜레인,클라이브 오웬,이안 그루퍼드"
34,내 남자의 로맨스,2004-07-16,4895975500.0,4895975500.0,765720.0,765720.0,102.0,9658.0,한국,CJ ENM,12세관람가,드라마,박제현,"김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태"
35,효자동 이발사,2004-05-05,4855872900.0,4855872900.0,748380.0,748380.0,83.0,10745.0,한국,(주)쇼박스,15세관람가,드라마,임찬상,"문소리,송강호,주진모,이재응,오달수,노형욱,류승수,정세인,김민석,최한철,채성민,민봉기,손병호,박길수,조영진,정대용,윤주상,김경룡,최홍일,최교식,오창경"
36,아는 여자,2004-06-25,4686101500.0,4686101500.0,736296.0,736296.0,81.0,10941.0,한국,(주)시네마서비스,15세관람가,드라마,장진,"이나영,정재영,이민정,이상민,조은정,지상용,이은석,김준혁,임하룡,조덕현,장영남,이철민,최일화"
37,"달마야, 서울 가자",2004-07-09,4469579500.0,4469579500.0,703507.0,703507.0,128.0,10918.0,한국,(주)시네마서비스,15세관람가,코미디,육상효,"김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호"
38,반지의 제왕 : 왕의 귀환,2003-12-17,4352623000.0,4352623000.0,700596.0,700596.0,44.0,4925.0,미국,"워너브러더스 코리아(주),CJ ENM",12세관람가,"판타지,어드벤처",피터 잭슨,"비고 모텐슨,일라이저 우드,이안 맥켈런,숀 애스틴,리브 타일러,올랜도 블룸,숀 빈,빌리 보이드,케이트 블란쳇,휴고 위빙"
39,신부수업,2004-08-05,4255753000.0,4255753000.0,675521.0,675521.0,113.0,9931.0,한국,코리아픽쳐스(주),12세관람가,"드라마,멜로/로맨스",허인무,"하지원,권상우,김도형,오대환,김유나,김선화,김인권,김인문,김미연,진이한,남진호,김도현,박경숙,이상현,김순옥,김지나,박효준,김일우,천우희,홍인"
40,블레이드 3,2004-12-15,4327368500.0,4327368500.0,665676.0,665676.0,131.0,10879.0,미국,(주)쇼박스,18세관람가,액션,데이빗 S. 고이어,"웨슬리 스나입스,라이언 레이놀즈"
41,슈퍼스타 감사용,2004-09-17,4073017000.0,4073017000.0,627199.0,627199.0,128.0,15185.0,한국,CJ ENM,전체관람가,드라마,김종현,"이범수,공유,윤진서,하정우,이명수,이혁재,송민규,이대희,정석원,김상현,최봉석,이성덕,김철용,예민정,이정준,정준하,장항선,장소연,이태성,박효주,조희봉,박충선,조원동,류승수,최대훈,박용우,이람"
42,인크레더블,2004-12-15,3875392500.0,3875392500.0,620749.0,620749.0,189.0,11725.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,브래드 버드,"홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨,제이슨 리"
43,분신사바,2004-08-05,3828714000.0,3828714000.0,608479.0,608479.0,97.0,9877.0,한국,브에나비스타인터내셔널코리아,15세관람가,공포(호러),안병기,"김규리,이유리,이세은,최정윤,안성범,이경미,최성민,모지은,김경룡"
44,말죽거리 잔혹사,2004-01-16,3837152000.0,3837152000.0,604969.0,604969.0,40.0,5513.0,한국,CJ ENM,15세관람가,"액션,멜로/로맨스",유하,"권상우,이정진,한가인,김인권,박효준,이종혁,백봉기,안내상,조진웅,김동영,강동수,이동연,김대성,이민구,조주연,민성주,김성문,최선중,전진우,김소라,김수민,박수영,정영민,정진모,우성,김정열,양종규,이광재,이진욱,이혜선,김병춘,한재영,천호진,김부선,권태원,서동원,백주희,박혁민"
45,콜래트럴,2004-10-15,3752632000.0,3752632000.0,576262.0,576262.0,114.0,12803.0,미국,UIP코리아,15세관람가,액션,마이클 만,"톰 크루즈,제이미 폭스,제이다 핀켓 스미스,마크 러팔로"
46,투 가이즈,2004-07-09,3584851500.0,3584851500.0,568230.0,568230.0,93.0,8311.0,한국,쇼이스트(주),15세관람가,코미디,박헌수,"김성훈,차태현,박중훈,정환석,송남규,최정인,박한기,김병국,김경인,유소영,윤기호,김일환,정보름,이수나,김재훈,김창규,김용덕,한은정,이창용,박인환,지대한"
47,령,2004-06-17,3554937000.0,3554937000.0,558807.0,558807.0,74.0,8781.0,한국,(주)쇼박스,12세관람가,공포(호러),"김태경,이인규","김하늘,신이,류진,남상미,이윤지,전혜빈,김근영,최은재,김해숙,기주봉"
48,돈 텔 파파,2004-09-03,3481025000.0,3481025000.0,558745.0,558745.0,81.0,10664.0,한국,CJ ENM,15세관람가,코미디,이상훈,"정웅인,유승호,채민서,이유진,천지윤,윤정,최우정,임호,이종수"
49,누구나 비밀은 있다,2004-07-30,3529353500.0,3529353500.0,542955.0,542955.0,88.0,7650.0,한국,(주)시네마서비스,18세관람가,"코미디,멜로/로맨스",장현수,"김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이"
50,꽃피는 봄이 오면,2004-09-23,3201626000.0,3201626000.0,497689.0,497689.0,117.0,11734.0,한국,영화사청어람(주),12세관람가,드라마,류장하,"최민식,장신영,김호정,김강우,김동영,이민아,조명호,최태규,김기철,김길웅,이동진,김경준,박소윤,김정석,김영옥,이재응,이민아,엄효섭,최일화"
51,80일간의 세계 일주,2004-09-17,3016226000.0,3016226000.0,477424.0,477424.0,104.0,10915.0,미국,(주)쇼박스,,"코미디,드라마,어드벤처,액션",프랑코 코라시,"성룡,세실 드 프랑스"
52,인어 공주,2004-06-30,2828706500.0,2828706500.0,437225.0,437225.0,105.0,8794.0,한국,CJ ENM,전체관람가,드라마,박흥식,"전도연,박해일,고두심,김봉근,이선균,김은영,주진모,송은주,신수현,홍지현,박현두,사소인,강희정,김일종,김부선,신동환,박명신,조현숙"
53,목포는 항구다,2004-02-20,2673832500.0,2673832500.0,425725.0,425725.0,25.0,6239.0,한국,코리아픽쳐스(주),15세관람가,"드라마,코미디",김지훈,"김윤태,차인표,조재현,김현정,송선미,박원서,방선진,문양식,김선애,유은아,이선규,장국환,임도기,정영호,이예은,조덕현,손병호,최덕문,이한위,김일우,기주봉,정경호,정상훈,권혁호,권태원,정인기,정희태,서병철"
54,노트북,2004-11-26,2736255500.0,2736255500.0,423719.0,423719.0,101.0,10161.0,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
55,빌리지,2004-09-24,2507016000.0,2507016000.0,378950.0,378950.0,81.0,9005.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,공포(호러),M. 나이트 샤말란,"와킨 피닉스,브라이스 달라스 하워드"
56,그놈은 멋있었다,2004-07-22,2309055500.0,2309055500.0,372591.0,372591.0,77.0,5425.0,한국,프라임픽쳐스,15세관람가,코미디,이환경,"송승헌,김지혜,정다빈,이기우,이민혁,김효성,박정률,나수원,이동윤,김경록,곽동학,박민아,박성희,우성,이대일,이유명,정우,이환경,정준하,김보연,남궁은숙"
57,본 슈프리머시,2004-08-20,2439904500.0,2439904500.0,370894.0,370894.0,90.0,7478.0,미국,UIP코리아,15세관람가,액션,폴 그린그래스,"맷 데이먼,칼 어번,프란카 포텐테,조안 알렌"
58,레지던트 이블 2-아포칼립스,2004-11-05,2367612000.0,2367612000.0,363273.0,363273.0,100.0,11218.0,미국,(주)시네마서비스,18세관람가,액션,알렉산더 윗,"오데드 페르,시에나 길로리"
59,얼굴 없는 미녀,2004-08-06,2228765000.0,2228765000.0,346015.0,346015.0,72.0,5594.0,한국,"CJ ENM,아이러브시네마",18세관람가,스릴러,김인식,"김혜수,김태우,한정수,김영애,김무령,윤희현,김형석,안성현,채은석,박보연,정지환,정인기,조운"
60,세상의 중심에서 사랑을 외치다,2004-10-08,2010292500.0,2010292500.0,315133.0,315133.0,102.0,8701.0,일본,(주)동아수출공사,12세관람가,멜로/로맨스,유키사다 이사오,"나가사와 마사미,오사와 타카오,시바사키 코우"
61,맨 온 파이어,2004-09-24,1984024500.0,1984024500.0,307751.0,307751.0,61.0,7364.0,미국,이십세기폭스필름코퍼레이션,15세관람가,액션,토니 스콧,"덴젤 워싱턴,다코타 패닝"
62,올드보이,2003-11-21,1928502500.0,1928502500.0,299163.0,299163.0,17.0,2693.0,한국,"쇼이스트(주),(주)씨제이이엔엠",18세관람가,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이,박명신"
63,라스트 사무라이,2004-01-09,1904735500.0,1904735500.0,299158.0,299158.0,35.0,3091.0,미국,워너브러더스 코리아(주),15세관람가,액션,에드워드 즈윅,"톰 크루즈,와타나베 켄"
64,그녀를 믿지 마세요,2004-02-20,1859615500.0,1859615500.0,298221.0,298221.0,25.0,4664.0,한국,(주)시네마서비스,12세관람가,코미디,배형준,"강동원,김용선,진경,김지영,김하늘,김은영,송재호,임하룡,최연수,김창수,최유선,이안나,이미은,류태호,권태원,홍인,이영은"
65,내사랑 싸가지,2004-01-16,1836153500.0,1836153500.0,296125.0,296125.0,22.0,2967.0,한국,(주)시네마서비스,12세관람가,코미디,신동엽,"김재원,진태현,하지원,김지훈,한민,강정호,김상혁,유현호,최용준,김용건,김민경,김창완,임혁필"
66,리딕 - 헬리온 최후의 빛,2004-08-13,1856785000.0,1856785000.0,288900.0,288900.0,96.0,6148.0,미국,CJ ENM,12세관람가,SF,데이빗 토히,"빈 디젤,칼 어번,탠디 뉴튼"
67,가필드,2004-08-19,1464283500.0,1464283500.0,240021.0,240021.0,76.0,5432.0,미국,이십세기폭스필름코퍼레이션,전체관람가,코미디,피터 휴잇,"빌 머레이,제니퍼 러브 휴잇,브레킨 메이어"
68,알렉산더,2004-12-31,1495476000.0,1495476000.0,239615.0,239615.0,182.0,1651.0,미국,(주)시네마서비스,15세관람가,"전쟁,드라마",올리버 스톤,"콜린 파렐,안젤리나 졸리,발 킬머,안소니 홉킨스"
69,페이스,2004-06-11,1534151500.0,1534151500.0,238950.0,238950.0,69.0,5674.0,한국,(주)시네마서비스,15세관람가,공포(호러),유상곤,"송윤아,신현준,조원희,장석원,김승욱,안석환,홍수아,신용하,나관,권혁,진혜미,박승찬,이승민,이철민,이주실,오정세"
70,썸,2004-10-22,1488328000.0,1488328000.0,237763.0,237763.0,121.0,8366.0,한국,(주)시네마서비스,15세관람가,스릴러,장윤현,"고수,김효인,신두현,강신일,강신일,김혜진,최화영,대룡,윤소일,오정은,이승준,강성진,한재영"
71,착신아리,2004-07-09,1464246500.0,1464246500.0,235077.0,235077.0,49.0,3543.0,일본,(주)쇼박스,15세관람가,공포(호러),미이케 다카시,"시바사키 코우,후키이시 카즈에,츠츠미 신이치"
72,맹부삼천지교,2004-03-26,1424995500.0,1424995500.0,229240.0,229240.0,56.0,5254.0,한국,CJ ENM,15세관람가,코미디,김지영,"손창민,조재현,소이현,손현주,김뢰하,김홍석,홍상석,박종욱,안갑용,나상문,김덕형,유상범,곽은미,김택수,유용현,유지원,인현주,박송이,최영주,이영자,오상민,김용석,이재웅,정석용,이인"
73,하류인생,2004-05-21,1470927500.0,1470927500.0,224794.0,224794.0,88.0,6039.0,한국,(주)시네마서비스,15세관람가,액션,임권택,"조승우,김규리,문혜영,이재룡,이주원,최태환,송길한,조상연,조선종,박은아,김현석,최흥국,심재원,심효진,남우성,하성민,박호진,단혁태,백기현,지성환,서동현,모상범,서영우,김대승,김봉수,우영재,유광일,박동혁,김성실,이희탁,박민희,장은희,장찬희,전병욱,태인호,박상욱,임문섭,박상현,임수철,임순우,김태득,최영심,정수영,이후곤,임세호,오은석,김수용,김정섭,김정일,이기정,이한,김주경,이재인,최민철,오유진,김보연,남문철,이황의,송능한,문정희,한창현,손경원,주부진,손병욱"
74,인형사,2004-07-30,1324401000.0,1324401000.0,214709.0,214709.0,60.0,4035.0,한국,롯데쇼핑㈜롯데시네마,15세관람가,공포(호러),정용기,"임은경,김유미,심형탁,옥지영,천호진,조성아,안재범,배효진,임종호,정진환,최유성,김정자,남명렬,김도영"
75,러브 액츄얼리,2003-12-05,1351970500.0,1351970500.0,206892.0,206892.0,11.0,1885.0,미국,"(주)제이앤씨미디어그룹,와이드 릴리즈(주),UIP코리아,(유)조이앤시네마","15세관람가,15세이상관람가","멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,알란 릭맨,엠마 톰슨,리암 니슨,로라 린니,키이라 나이틀리,마틴 맥커천,빌 나이히"
76,폴라 익스프레스,2004-12-23,1261680000.0,1261680000.0,200858.0,200858.0,92.0,4052.0,미국,워너브러더스 코리아(주),전체관람가,애니메이션,로버트 저메키스,"톰 행크스,노나 M. 게이"
77,포가튼,2004-12-03,1281609500.0,1281609500.0,198010.0,198010.0,65.0,5343.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세관람가,스릴러,조셉 루벤,"크리스토퍼 코바레스키,줄리안 무어"
78,나두야 간다,2004-06-25,1215167500.0,1215167500.0,193554.0,193554.0,60.0,5005.0,한국,롯데쇼핑㈜롯데시네마,15세관람가,코미디,정연원,"권용운,안관수(추천),손창민,정준호,오유미,정소영,임동문,신현탁,서범식,강성필,서동수,금보라,장태성,전미선"
79,캣우먼,2004-09-24,1211731000.0,1211731000.0,184929.0,184929.0,79.0,6023.0,미국,워너브러더스 코리아(주),12세관람가,액션,피토프,"할리 베리,벤자민 브랫"
80,첫키스만 50번째,2004-04-15,1199579500.0,1199579500.0,182614.0,182614.0,37.0,4066.0,미국,"팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜","15세관람가,15세이상관람가",코미디,피터 시걸,"아담 샌들러,드류 베리모어"
81,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,1158210500.0,1158210500.0,181510.0,181510.0,28.0,3570.0,한국,(주)시네마서비스,12세관람가,코미디,강석범,"김주혁,엄정화,김가연,기주봉,손재곤,김두찬,김준성,조성재,조은희,박지현,이복희,김영숙,허기호,노승범,이주리,강성필"
82,에이리언 VS 프레데터,2004-09-03,1151500000.0,1151500000.0,180626.0,180626.0,79.0,5788.0,미국,이십세기폭스필름코퍼레이션,15세관람가,SF,폴 W.S. 앤더슨,"라울 보바,산나 라단,랜스 헨릭슨"
83,쓰리 몬스터,2004-08-20,1161290500.0,1161290500.0,180377.0,180377.0,60.0,3970.0,한국,CJ ENM,18세관람가,공포(호러),"박찬욱,미이케 다카시,프루트 챈","강혜정,하세가와 쿄코,이병헌,임원희,와타베 아츠로,양천화"
84,화씨 911,2004-07-22,1162115500.0,1162115500.0,177255.0,177255.0,48.0,2896.0,미국,스튜디오플러스(주),15세관람가,다큐멘터리,마이클 무어,"마이클 무어,조지 W. 부시,벤 애플렉,바바라 부쉬,오사마 빈 라덴,앨 고어"
85,스텝포드 와이프,2004-10-01,1139648500.0,1139648500.0,171805.0,171805.0,39.0,4377.0,미국,CJ ENM,15세관람가,코미디,프랭크 오즈,"니콜 키드먼,매튜 브로데릭,베트 미들러,글렌 클로즈"
86,동해물과 백두산이,2003-12-31,1041877500.0,1041877500.0,163194.0,163194.0,21.0,2067.0,한국,(주)쇼박스,15세관람가,코미디,안진우,"정준호,공형진,류현경,박정우,김유신,문성현,박상욱,윤지영,정지영,양지은,이혜미,신현탁,정경순,김광규,오지혜,한재영,한창현,박윤호"
87,까불지마,2004-12-03,999160000.0,999160000.0,155308.0,155308.0,90.0,6418.0,한국,영화사청어람(주),15세관람가,드라마,오지명,"오지명,최불암,노주현,김정훈,임유진,박영아,조윤진,나재욱,권창범,서명석,최길호,유희연,윤은정,정유신,이재경,김학철,정호빈,정다빈,윤서현"
88,디 아이2,2004-05-26,964130500.0,964130500.0,150477.0,150477.0,68.0,4454.0,홍콩,쇼이스트(주),15세관람가,공포(호러),"대니 팽,옥사이드 팽 천","원려기,서기"
89,옹박 - 무에타이의 후예,2004-05-26,947199300.0,947199300.0,147900.0,147900.0,57.0,4790.0,태국,(주)쇼박스,15세관람가,액션,프라챠 핀카엡,토니 자
90,피터 팬,2004-01-16,850564000.0,850564000.0,141716.0,141716.0,15.0,1668.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,"어드벤처,가족,판타지",P.J. 호건,"레이첼 허드-우드,제이슨 아이삭스,제레미 섬터"
91,사랑할 때 버려야 할 아까운 것들,2004-02-13,908155000.0,908155000.0,138609.0,138609.0,20.0,1579.0,미국,워너브러더스 코리아(주),15세관람가,코미디,낸시 마이어스,
92,킬 빌2,2004-05-14,920536500.0,920536500.0,138031.0,138031.0,41.0,2964.0,미국,CJ ENM,18세관람가,액션,쿠엔틴 타란티노,"우마 서먼,데이빗 캐러딘"
93,내셔널 트레져,2004-12-31,876114500.0,876114500.0,137663.0,137663.0,128.0,1485.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,액션,존 터틀타웁,"다이앤 크루거,니콜라스 케이지"
94,택시: 더 멕시멈,2004-11-17,849676500.0,849676500.0,134885.0,134885.0,57.0,4455.0,미국,이십세기폭스필름코퍼레이션,12세관람가,액션,팀 스토리,"지젤 번천,지미 펄론"
95,페이첵,2004-01-22,840196500.0,840196500.0,131390.0,131390.0,17.0,1688.0,미국,CJ ENM,15세관람가,액션,오우삼,"벤 애플렉,우마 서먼,아론 에크하트"
96,프린세스 다이어리 2,2004-10-29,792040500.0,792040500.0,128615.0,128615.0,70.0,4540.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,멜로/로맨스,게리 마샬,"줄리 앤드류스,앤 해서웨이"
