■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-07-23,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2017-01-01~2018-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,신과함께-죄와 벌,2017-12-20,"115,706,080,137",3.20%,"115,706,080,137","14,411,502","14,411,502","1,912","213,262",한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,차태현,주지훈,김향기,마동석,김동욱,도경수,오달수,임원희,장광,정해균,김수안,이정재,김해숙,이경영,김하늘,최용훈,강소백,정수윤,이수봉,이승준,이지향,김태준,정지훈,예수정,김기태,성유빈,오희준,이준혁,유수빈,윤지온,임철수,나철,강길우,김민종,홍인,정순원,김그림,박윤호,양지수,김지나"
2,신과함께-인과 연,2018-08-01,"102,666,146,909",2.90%,"102,666,146,909","12,274,996","12,274,996","2,235","179,981",한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,이정재,김기태,오희준,도경수,이준혁,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,정지훈,권훈,권수정,김대근,김대현,김동욱,김민석,안지호,강민,조한철,임철수,민무제,강신철,홍기준,장광,정아미,김민종,홍인,류제승,최현종,김그림,양지수,강재은,전승재,정진영"
3,택시운전사,2017-08-02,"95,868,830,649",2.70%,"95,868,830,649","12,189,195","12,189,195","1,906","184,145",한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,서정우,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,차순배,김대현,서현우,이봉련,홍완표,문광식,류성현,백인권,허정도,손경원,한사명,한이진"
4,어벤져스: 인피니티 워,2018-04-25,"99,926,399,769",2.80%,"99,926,399,769","11,212,710","11,212,710","2,553","240,501",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 웡"
5,보헤미안 랩소디,2018-10-31,"80,010,440,345",2.20%,"80,010,440,345","9,224,582","9,224,582","1,179","204,537",미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",12세이상관람가,드라마,브라이언 싱어,"라미 말렉,조셉 마젤로,마이크 마이어스,루시 보인턴"
6,공조,2017-01-18,"63,783,303,326",1.80%,"63,783,303,326","7,817,654","7,817,654","1,392","142,991",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",(주)씨제이이엔엠,15세이상관람가,액션,김성훈,"이재남,현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘,박형수,서은지,신유철,공정환,김준한,신문성,엄효섭,홍인,임용순,엄지만,신현빈,김종태"
7,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820",1.70%,"59,125,813,820","7,258,678","7,258,678","1,965","164,448",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"제이콥 배덜런,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,마리사 토메이,젠데이아 콜먼,존 파브로,마틴 스타,로건 마샬-그린,가르셀라 보베,스탠 리,보킴 우드바인,케네스 최,토니 레볼로리,타인 달리"
8,1987,2017-12-27,"58,169,776,145",1.60%,"58,169,776,145","7,232,387","7,232,387","1,299","138,226",한국,한국,(주)우정필름,(주)씨제이이엔엠,15세이상관람가,드라마,장준환,"안대겸,김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기,양조아,최교식,이장유,김경덕,최현종,정순원,이하영,유정호,곽진석,박혁민,염석무"
9,범죄도시,2017-10-03,"56,322,153,349",1.60%,"56,322,153,349","6,880,546","6,880,546","1,315","149,389",한국,한국,"(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹",청소년관람불가,"범죄,액션",강윤성,"마동석,윤계상,조재윤,최귀화,박상규,유지연,최성재,이경원,이태규,진선규,허동원,김성규,박지환,오민애,허성태,이성우,민무제,한성천,홍기준,배진웅,정인기,서문호,윤주,박기륭,정인겸,하준,김용호"
